Date, Experience, Questions
2014-10-20 15:02:01.78,coding challenge lasting one hour. they give you a problem to solve and you need to choose your favorite language to start coding. test cases are given so you can test them while coding the problem.,a problem related to graphs.   answer question
2014-10-12 20:51:05.023,friend referral. got contacted by hr after 2 weeks. questions were good  notthing unexpected. got 2 phone interviews  not too complicated but i was not able to solve them correctly.,nda   answer question
2014-10-09 14:12:28.393,on campus process  overall it was very fast and efficient. the interviewer was very friendly  presented himself and the company  and asked about my background. white board questions were fairly easy and required basic programming skills  they didn t care about the language i chose. didn t move forward due to lack of mutual interest.,describe one of your projects and how it might be relevant   answer question
2014-10-27 10:17:26.55,applied for internship. first round interview was on campus. asked me to code a common simulation game that you may have heard of. then asked me to scale it for a million inputs. interviewer was on his phone while i was programming and not very interested in me beyond the code. got a second phone interview 2 weeks later. second guy was quite distracted too. didn t sound very interested in interviewing me. he asked me a question floating around here on glassdoor. i hadn t seen the question before but managed to solve it pretty easily. then he changed it slightly and made it a lot harder. i quickly told him the solution to this which he agreed on and i proceeded to code a slightly inefficient solution. i think he was disappointed with my code and decided to ding me at this point. questions were similar to google  not impossible like others describe. quite manageable. overall  i got a negative impression from engineers at dropbox. i met 2 other engineers at their office a while back too. elitist and bro culture are words i associate with them. that said  they have some very smart people. i actually like google drive as a product better  so i m not sure what they do with all that engineering horse power. recruiters were great and responded quickly.,second part of second interview. required knowledge of some arcane data structure to solve it efficiently.   answer question
2014-10-20 17:49:07.603,applied on line. received an e mail from a dropbox recruiter expressing interest and an invite to a coding exam about 2 days later. did not make it past the coding exam. recruiting process was efficient.,question has already been posted   on string pattern matching.   answer question
2014-09-29 20:44:24.863,i applied at the career fair by just dropping off my resume. i was contacted within a few days saying that i was not the right fit for the job.,locate certain types of words in a dictionary   answer question
2014-09-25 14:29:49.887,submitted resume at campus career fair. heard back that night. went through first round interview  which was relatively straightforward. asked question about locating certain types of words in a dictionary. interviewer was very happy to answer all my questions about dropbox. very pleasant experience. noticed next of day their decision. excited to continue with the process soon.,questions about lists and sums of elements of the list    not too difficult  except i blanked on a few questions about algorithms.   answer question
2014-09-09 18:01:07.08,one on one  30 minute interview. whiteboard coding  with helpful advice from the interviewer. about 5 minutes at the end to talk about dropbox and any questions about the company. overall  very friendly and relaxed interview process  with callbacks within 24 hrs for a longer interview  unfortunately  was not called back    probably because this was my first technical interview for a company .,No Question
Date, Experience, Questions
2014-09-15 18:18:27.697,i submitted my resume online through the website  they got back to me a couple weeks later and i did 3 phone interviews over a couple weeks  the first one was mostly a conversation about my past projects and then a few related technical questions. my other 2 phone interviews were more technical and required writing some code using coderpad to solve a couple problems. afterwards i did the onsite interviews starting at 10am and ending around 4 5pm. the first one asked a few questions about motivation  then some coding  another coding interview  then a behavioral based interview  lunch  a couple more technical interviews  one about design architecture  and at the end i got a chance to ask any questions during the last one. overall very relevant problems without any puzzles or nonsense questions.,none of the questions were too difficult and they didn t expect you to solve the problems in a certain way.   answer question
2014-06-19 00:06:22.15,there was an initial hr call followed by 2 onsite interviews  one with the team lead and one with the senior engineers on the team. the recruiters had an amazing turnaround time on emails  sometime even replying on a sunday and were generally very helpful. the on site interview started off with a tour of the office followed by back to back interviews which involved a combination of technology conversations  whiteboard coding and system design questions.,there was nothing very unexpected  it was just mostly a casual conversation intermingled with coding questions.   answer question
2014-05-05 12:50:29.763,a recruiter reached out to me on linkedin. after a few conversations and a technical phone screen  i went onsite for 5 hours of interviews at the sf hq  followed by dinner at dropbox. the onsite consisted of 2 whiteboard problems and a 1.5 hour coding problem on a computer.,1. design a link shortening url system. discuss the tradeoffs of different approaches. 2.  coding  write a basic file system and implement the commands ls  pwd  mkdir  create  rm  cd  cat  mv. this was done on my own computer  in the interview room  with a 1.5 hour time limit.   answer question
2014-03-30 11:21:06.727,overall the interview was quite pleasant. the recruiters and each of the interviewers were very knowledgeable in their respective fields. timing and scheduling worked liked clockwork. however  i was a bit surprised that they did not ask any technical questions. perhaps they had already disqualified me at this point or perhaps the ball was in my court to demonstrate some level of skill. if i were to go back and do it over again i would try to avoid the trap of only answering the questions that were asked and instead i d pick a problem that i suspect they encounter and ask how they addressed or solved it. hopefully this will be the impetus to demonstrate some technical ability.,they simple asked  if you were hired here what would you do    1 answer
2014-02-15 23:04:26.753,two 30 minute interviews  4 hour onsite interview,dropbox asks questions that can be applied in real life  instead of just puzzle solving problems.   answer question
2014-02-09 23:05:01.72,contacted for interview the day after on campus job fair. recruiter was very friendly  and prompt in responding. initial interview was set up for the following day  then a second was scheduled for the day after  presumably i did well in the first round . next step would have been flying to sf  but was not asked back. everyone i spoke with was very friendly and polite    i left the interviews wanting to do more ,pretty standard questions. first interview involved finding the sum to a target in an array  second involved designing a log hit counter for a website. i was allowed to write both in java. the questions weren t overly difficult  but they expected top notch answers    answer question
2013-12-31 15:46:42.623,it was a phone interview and i went through technical questions,the questions were related to java. the interviewer asked me to write a code to edit a string in a output.   answer question
2014-01-03 11:14:56.883,the whole process was pretty standard. the first step was a phone screen  which involved some coding. when they invited me into the office  there was a whole day of meet and greets with various technical people  who each took the opportunity to interview me. less than a week later  i received the offer. the whole process went pretty smoothly  except for the recruiter  who mis scheduled the phone screen  and then didn t get back to me for several weeks until i followed up. recruiters tend to be flaky in general though  so it s always good to be persistent.,ehhh  nda got my hands tied.   answer question
2013-09-30 06:16:01.32,applying for summer internship. only one question  30 minutes for first round. did not make second round., make a program that can print out the text form of numbers from 1   1000  ex. 20 is  twenty   105 is  one hundred and five     1 answer
2013-10-24 13:03:33.78,three interviews total. first was 45 minutes  second was 1 hour. first had basic algorithms   coding problems  then iterated on the problem and added constraints. second was more complicated coding problem. recruiters are extremely friendly  response time was less than a week each time  made the entire process very pleasant.,write a program that logs hits received in the past 15 minutes.   1 answer
Date, Experience, Questions
2013-09-30 12:36:05.903,had a really strange experience. they had me for a wrong position  i applied in career fair. the guy who took my resume did not even look at me then  blandly said take a t shirt and go. i thought that dropbox is smart and they hire people first and then find a fitting role. no. i was invited for an on campus interview. apparently  it was not even an engineering position but was something like a sales position  that too not full time. my resume clearly says engineering full time position seeker. god knows why they made me go to the interview only to find out  thanks to a smart lady interviewing me  that i indeed should not have been called for the interview. so   immediate reject. did it annoy me  yes  not for the time effort but getting the hopes up   ,interviewer  i think i am not the right interviewer for you. let me check what s going on. me  eehh...   answer question
2013-09-05 21:54:35.857,applied online using jobvite. phone interview went well and was invited for onsite. but onsite interviews were worse than expected. interviewers seemed inexperienced and questions they were asking seemed to be not their own. they also were from the teams where i would never work. after 3 boring interviews i decided to leave. they didn t even ask why i was leaving.,some questions about finding folders and files   answer question
2013-02-09 11:17:33.91,on campus interview   found tech talk on facebook and then submitted resume online for on campus interview. they had an on campus dinner the night before the interviews   kind of like a behavioral interview scenario. not that noteworthy but not difficult. the tech interview the next day was more difficult.,given an array of integers eg  1 2  3 1  find whether there is a sub sequence that sums to 0 and return it  eg 1 2  3 or 2  3 1  checking every sub sequence is o n 2  which is too inefficient   12 answers
2013-03-17 00:41:39.51,there were 3 rounds   1. half hour technical plus normal interview. 2. one hour technical interview if you advanced through the first round 3. final round at hq.,question related to hash tables and sorting.   answer question
2013-01-16 14:53:26.24,i spent hours upon hours with their team and got asked some really random stuff that had absolutely not a thing to do with anything related to the job i applied for. that being said with the bounty of great things in the market now i would not consider to work here  too many other great possibilities there and i expect to be treated like a senior developer not some fresh grad.,they asked some really weird stuff   1 answer
